PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,SEASON,Cluster,Tier,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,TS_PCT,EFG_PCT,USG_PCT,PIE,OFF_RATING,DEF_RATING,NET_RATING,AST_TO,OREB_PCT,DREB_PCT,AST_PCT,REB_PCT,INV_DEF_RATING,Scorer_Score,Playmaker_Score,Rebounder_Score,Defensive Player_Score
920,A.C. Green,MIA,2000-01,Defensive Player,Very Good,82,1411.8183333333334,367,313,39,30,8,45,0.444,0.0,0.712,0.492,0.444,0.137,0.093,94.1,90.4,3.8,0.87,0.076,0.151,0.05,0.113,35.0,-0.8358113080477619,-0.8817604144138901,0.4699235159275628,0.5437904727910722
1502,Adonal Foyle,GSW,2000-01,Defensive Player,Elite,58,1460.31,342,405,48,31,156,79,0.416,0.0,0.441,0.422,0.416,0.138,0.075,92.8,103.4,-10.6,0.61,0.089,0.171,0.051,0.127,22.0,-1.246747083456284,-0.8430255391779284,0.8923895058902924,1.2877257325405844
1559,Adrian Griffin,BOS,2000-01,Defensive Player,Average,44,375.875,93,87,27,18,5,18,0.34,0.346,0.75,0.432,0.387,0.145,0.077,94.2,96.6,-2.5,1.5,0.066,0.179,0.125,0.117,28.80000000000001,-1.3178944309749498,-0.5045927101631571,-0.07878142676206856,0.02482274021519615
692,Andrew DeClercq,ORL,2000-01,Defensive Player,Very Good,67,900.0216666666666,261,236,32,41,33,51,0.554,0.0,0.573,0.57,0.554,0.135,0.06,105.1,97.4,7.7,0.63,0.099,0.159,0.049,0.129,28.0,-0.4809262351364609,-0.9131359070051752,0.46944783386022126,0.4994193398427987
324,Anthony Peeler,MIN,2000-01,Defensive Player,Very Good,75,2121.68,791,192,192,91,18,105,0.421,0.391,0.862,0.513,0.489,0.183,0.076,103.0,100.6,2.4,1.83,0.021,0.069,0.138,0.045,24.80000000000001,-0.07323372579081269,0.1755858513765811,-0.7174317854141958,0.6777105665539
717,Arvydas Sabonis,POR,2000-01,Defensive Player,Elite,61,1294.69,616,331,91,40,62,85,0.479,0.067,0.776,0.527,0.48,0.238,0.14,102.1,92.6,9.5,1.07,0.043,0.214,0.121,0.133,32.80000000000001,0.2832372315353032,-0.2915630788731769,0.7724774165271437,1.064486873231203
223,Bill Curley,GSW,2000-01,Defensive Player,Average,20,192.33166666666668,63,37,3,7,9,16,0.532,0.5,0.632,0.569,0.543,0.155,0.026,91.3,101.0,-9.7,0.19,0.106,0.09,0.028,0.098,24.400000000000006,-0.4830216185300431,-1.1378176753862468,-0.45350378773425803,-0.3072029663117567
182,Billy Owens,DET,2000-01,Defensive Player,Very Good,45,796.4333333333333,198,205,55,32,12,39,0.383,0.15,0.475,0.4,0.389,0.147,0.069,95.5,97.1,-1.6,1.41,0.092,0.139,0.108,0.115,28.30000000000001,-1.4104939874995317,-0.4970614598312785,0.20883793750107355,0.2113267318483197
1517,Bobby Jackson,SAC,2000-01,Defensive Player,Very Good,79,1647.63,566,246,161,87,7,103,0.439,0.375,0.739,0.501,0.476,0.178,0.099,101.0,93.8,7.2,1.56,0.044,0.1,0.166,0.072,31.60000000000001,-0.34070508017723483,0.21880971376177716,-0.23017867566990294,0.9245048011034718
1719,Bonzi Wells,POR,2000-01,Defensive Player,Very Good,75,1995.535,948,367,208,94,20,169,0.533,0.34,0.66,0.571,0.545,0.229,0.122,104.1,99.8,4.2,1.23,0.067,0.128,0.179,0.098,25.60000000000001,0.7083459311959054,0.4647846992655996,0.4221111448752834,0.7760333234145828
1477,Bruce Bowen,MIA,2000-01,Defensive Player,Elite,82,2687.4,623,245,132,83,53,74,0.363,0.336,0.609,0.478,0.452,0.13,0.042,98.7,96.0,2.7,1.78,0.018,0.079,0.082,0.048,29.400000000000006,-0.7824860628174527,-0.35978421471907984,-0.5385837575658953,1.2192024083826543
179,Bryant Stith,BOS,2000-01,Defensive Player,Very Good,78,2506.8083333333334,756,284,168,93,14,90,0.401,0.376,0.845,0.538,0.475,0.139,0.078,98.5,101.2,-2.7,1.87,0.026,0.092,0.111,0.058,24.200000000000003,-0.2776367441670492,-0.06440338040230258,-0.3077054497561464,0.6227106313885318
